ID,Color ID,Colors
0,"[(29, 34, 8), (30, 35, 15), (37, 40, 15), (23, 27, 6), (43, 45, 23), (251, 251, 191), (99, 103, 71), (64, 65, 38), (228, 232, 170), (176, 182, 130)]","['lemonchiffon', 'darkkhaki']"
1,"[(37, 40, 18), (45, 47, 27), (28, 33, 10), (224, 234, 183), (56, 59, 38), (70, 73, 49), (207, 218, 169), (188, 195, 149), (163, 168, 127), (136, 137, 102)]",['Small/Transparent']
2,"[(253, 177, 2), (36, 38, 12), (47, 43, 17), (28, 31, 7), (64, 53, 18), (239, 167, 1), (205, 148, 4), (124, 98, 43), (154, 121, 57), (172, 128, 21)]","['orange', 'orange', 'darkgoldenrod', 'sienna', 'sienna', 'darkgoldenrod']"
3,"[(34, 38, 14), (27, 32, 8), (41, 43, 21), (212, 230, 183), (55, 57, 37), (188, 212, 170), (160, 163, 124), (130, 190, 181), (108, 112, 86), (44, 152, 176)]","['mediumaquamarine', 'lightseagreen']"
4,"[(33, 36, 13), (26, 31, 7), (40, 41, 19), (201, 59, 4), (58, 29, 7), (62, 60, 33), (158, 67, 12), (161, 7, 3), (112, 3, 2), (150, 114, 68)]","['firebrick', 'saddlebrown', 'darkred', 'maroon', 'sienna']"
5,"[(29, 34, 8), (30, 35, 15), (36, 39, 13), (24, 28, 6), (39, 41, 20), (46, 59, 47), (51, 52, 25), (65, 75, 51), (117, 137, 107), (89, 112, 79)]",['Small/Transparent']
6,"[(30, 35, 11), (35, 39, 16), (41, 43, 22), (24, 30, 7), (69, 81, 61), (49, 53, 32), (61, 71, 51), (81, 90, 69), (99, 109, 83), (111, 125, 98)]",['Small/Transparent']
7,"[(30, 35, 8), (30, 35, 16), (37, 40, 14), (24, 29, 7), (41, 43, 22), (56, 91, 57), (57, 58, 32), (61, 108, 71), (93, 127, 83), (172, 209, 149)]",['Small/Transparent']
8,"[(31, 37, 13), (25, 31, 7), (39, 42, 21), (26, 116, 164), (26, 113, 136), (21, 38, 44), (60, 60, 35), (17, 109, 85), (34, 62, 116), (87, 134, 142)]","['darkcyan', 'teal', 'midnightblue']"
9,"[(30, 35, 10), (34, 38, 18), (43, 43, 23), (24, 30, 7), (40, 41, 14), (90, 78, 48), (59, 57, 32), (108, 98, 65), (143, 119, 72), (160, 145, 104)]",['sienna']
10,"[(36, 39, 16), (29, 34, 14), (24, 30, 7), (31, 36, 8), (42, 44, 23), (54, 86, 78), (76, 100, 86), (59, 60, 35), (94, 123, 105), (123, 155, 132)]",['Small/Transparent']
11,"[(31, 36, 15), (26, 31, 7), (39, 41, 20), (34, 38, 10), (105, 123, 100), (51, 53, 31), (68, 70, 49), (123, 140, 112), (149, 164, 128), (206, 222, 172)]",['Small/Transparent']
12,"[(29, 35, 9), (31, 36, 17), (37, 40, 13), (24, 29, 7), (40, 42, 22), (51, 79, 84), (59, 58, 32), (61, 95, 100), (34, 49, 51), (95, 132, 120)]",['Small/Transparent']
13,"[(34, 38, 15), (27, 33, 9), (41, 42, 22), (232, 246, 197), (220, 236, 189), (58, 57, 34), (207, 223, 178), (76, 77, 51), (189, 193, 148), (130, 139, 100)]",['lightgoldenrodyellow']
15,"[(34, 38, 14), (197, 210, 165), (42, 43, 22), (27, 32, 8), (185, 200, 153), (54, 55, 32), (166, 191, 126), (75, 75, 51), (140, 172, 90), (105, 163, 21)]","['darkkhaki', 'olivedrab']"
16,"[(29, 35, 11), (39, 42, 19), (106, 112, 85), (51, 53, 32), (95, 102, 75), (70, 72, 48), (123, 131, 99), (150, 166, 124), (179, 195, 148), (207, 221, 172)]",['Small/Transparent']
17,"[(29, 35, 9), (32, 37, 17), (24, 29, 7), (41, 42, 21), (38, 40, 12), (97, 40, 33), (56, 55, 30), (96, 4, 3), (89, 76, 56), (134, 127, 103)]","['saddlebrown', 'maroon']"
18,"[(30, 35, 14), (25, 31, 7), (39, 41, 18), (33, 38, 9), (253, 223, 1), (49, 48, 21), (79, 63, 5), (66, 64, 39), (219, 197, 11), (172, 140, 10)]","['gold', 'goldenrod', 'darkgoldenrod']"
19,"[(29, 34, 13), (35, 39, 19), (25, 31, 6), (35, 39, 10), (42, 44, 21), (57, 59, 36), (142, 226, 212), (72, 78, 60), (131, 204, 180), (92, 140, 117)]","['skyblue', 'mediumaquamarine']"
20,"[(34, 38, 15), (27, 33, 9), (43, 44, 23), (210, 234, 190), (195, 217, 176), (64, 65, 43), (164, 169, 132), (149, 189, 176), (44, 85, 153), (105, 144, 147)]","['lightgray', 'darkslateblue', 'lightslategray']"
21,"[(32, 37, 13), (39, 41, 20), (26, 31, 8), (125, 172, 150), (50, 53, 31), (161, 187, 150), (66, 77, 57), (193, 219, 174), (91, 140, 133), (40, 99, 127)]",['teal']
23,"[(33, 38, 15), (80, 127, 129), (26, 32, 9), (40, 43, 23), (68, 116, 120), (48, 63, 50), (25, 98, 119), (58, 143, 153), (119, 151, 131), (188, 219, 180)]","['teal', 'steelblue']"
24,"[(32, 37, 13), (38, 41, 19), (26, 32, 8), (43, 47, 28), (95, 134, 123), (45, 66, 53), (76, 116, 111), (64, 136, 141), (121, 151, 124), (67, 67, 41)]",['steelblue']
25,"[(37, 40, 18), (30, 35, 15), (25, 31, 7), (33, 38, 9), (41, 45, 24), (42, 59, 35), (89, 129, 91), (78, 117, 81), (65, 100, 68), (62, 61, 37)]",['Small/Transparent']
26,"[(33, 38, 15), (27, 33, 9), (40, 42, 21), (61, 84, 85), (34, 44, 36), (44, 68, 74), (81, 105, 97), (61, 62, 37), (21, 71, 103), (127, 137, 102)]",['Small/Transparent']
27,"[(36, 39, 17), (79, 77, 60), (28, 33, 10), (89, 85, 67), (69, 67, 52), (43, 44, 26), (109, 93, 75), (51, 63, 71), (136, 118, 101), (190, 179, 151)]",['Small/Transparent']
28,"[(31, 36, 12), (36, 40, 17), (25, 31, 7), (42, 44, 24), (126, 135, 109), (69, 77, 56), (55, 57, 35), (86, 94, 73), (107, 115, 91), (212, 228, 177)]",['Small/Transparent']
29,"[(33, 38, 14), (40, 42, 21), (27, 33, 9), (53, 54, 31), (226, 240, 193), (74, 73, 51), (206, 225, 178), (170, 172, 139), (123, 131, 97), (207, 100, 38)]",['chocolate']
30,"[(35, 38, 15), (28, 33, 9), (42, 43, 22), (235, 243, 196), (61, 60, 37), (218, 226, 180), (203, 189, 147), (171, 152, 115), (203, 64, 12), (130, 101, 72)]","['lightgoldenrodyellow', 'rosybrown', 'firebrick']"
31,"[(32, 37, 13), (38, 41, 19), (26, 32, 8), (44, 46, 26), (224, 241, 195), (210, 229, 181), (59, 59, 37), (91, 92, 79), (180, 218, 147), (143, 151, 116)]",['lightgreen']
32,"[(38, 40, 17), (29, 34, 9), (229, 242, 196), (47, 47, 26), (225, 225, 180), (219, 190, 146), (89, 83, 63), (211, 149, 101), (152, 150, 112), (203, 71, 17)]","['lightgoldenrodyellow', 'burlywood', 'darksalmon', 'chocolate']"
33,"[(30, 35, 14), (30, 35, 7), (36, 39, 20), (24, 30, 7), (37, 40, 12), (43, 44, 22), (210, 229, 184), (59, 58, 33), (93, 90, 66), (156, 166, 129)]",['Small/Transparent']
34,"[(30, 35, 9), (32, 36, 17), (40, 42, 21), (37, 41, 13), (25, 30, 7), (151, 168, 137), (52, 53, 30), (132, 153, 121), (70, 72, 49), (101, 107, 84)]",['Small/Transparent']
35,"[(30, 35, 11), (36, 39, 16), (25, 30, 7), (41, 43, 22), (225, 237, 187), (210, 225, 177), (59, 56, 32), (179, 196, 148), (93, 89, 65), (129, 149, 104)]",['Small/Transparent']
36,"[(33, 37, 16), (28, 33, 12), (31, 36, 8), (24, 30, 6), (39, 41, 14), (40, 42, 23), (51, 63, 50), (53, 52, 27), (67, 76, 56), (95, 102, 75)]",['Small/Transparent']
37,"[(30, 35, 10), (35, 39, 16), (25, 30, 6), (42, 43, 22), (200, 215, 174), (60, 58, 34), (91, 90, 70), (173, 176, 137), (139, 134, 101), (152, 87, 40)]",['sienna']
38,"[(34, 37, 16), (28, 33, 12), (28, 32, 6), (33, 37, 9), (39, 41, 21), (40, 41, 14), (23, 26, 5), (47, 47, 24), (57, 57, 32), (79, 76, 46)]",['Small/Transparent']
39,"[(32, 38, 13), (40, 42, 19), (26, 33, 8), (38, 116, 66), (27, 109, 59), (55, 116, 67), (28, 57, 23), (7, 141, 70), (78, 130, 78), (56, 58, 30)]","['forestgreen', 'darkgreen']"
40,"[(31, 36, 11), (37, 40, 17), (25, 31, 7), (46, 46, 23), (149, 166, 134), (134, 157, 120), (65, 67, 43), (93, 98, 75), (105, 148, 87), (51, 147, 12)]",['forestgreen']
41,"[(26, 31, 7), (31, 35, 15), (40, 41, 19), (34, 38, 9), (163, 167, 135), (55, 53, 28), (112, 108, 75), (140, 133, 97), (82, 77, 51), (153, 73, 23)]",['saddlebrown']
42,"[(30, 35, 10), (35, 38, 15), (24, 30, 6), (42, 43, 20), (228, 238, 190), (60, 58, 34), (155, 147, 110), (189, 193, 145), (96, 93, 63), (203, 89, 31)]",['chocolate']
43,"[(33, 37, 13), (26, 32, 7), (40, 41, 19), (203, 222, 179), (185, 206, 165), (54, 52, 29), (162, 186, 136), (131, 150, 106), (91, 96, 66), (80, 181, 24)]",['limegreen']
44,"[(28, 33, 12), (33, 37, 16), (33, 37, 9), (28, 34, 5), (23, 28, 6), (40, 41, 14), (40, 41, 22), (54, 53, 27), (64, 75, 62), (82, 94, 75)]",['Small/Transparent']
45,"[(35, 37, 14), (28, 33, 9), (244, 249, 195), (42, 42, 21), (235, 242, 189), (225, 233, 182), (215, 223, 172), (60, 58, 32), (112, 101, 73), (163, 167, 117)]","['lemonchiffon', 'darkkhaki']"
46,"[(28, 33, 13), (35, 38, 14), (30, 35, 6), (23, 29, 6), (30, 37, 24), (41, 43, 23), (23, 90, 131), (12, 29, 38), (59, 58, 32), (18, 53, 85)]",['teal']
47,"[(28, 34, 10), (37, 40, 18), (102, 223, 156), (90, 208, 145), (51, 53, 30), (108, 106, 78), (225, 242, 186), (227, 156, 7), (38, 131, 79), (169, 160, 117)]","['mediumaquamarine', 'mediumaquamarine', 'goldenrod', 'darkkhaki']"
48,"[(28, 33, 12), (32, 36, 16), (33, 37, 9), (28, 34, 5), (38, 40, 21), (23, 28, 6), (39, 41, 13), (46, 46, 22), (81, 94, 70), (60, 58, 32)]",['Small/Transparent']
49,"[(29, 34, 13), (25, 30, 7), (30, 36, 6), (34, 37, 18), (36, 39, 12), (41, 42, 20), (20, 24, 4), (48, 53, 31), (59, 65, 42), (80, 90, 60)]",['Small/Transparent']
50,"[(31, 36, 16), (26, 32, 8), (32, 37, 8), (38, 41, 14), (38, 41, 21), (47, 49, 25), (19, 22, 3), (57, 64, 42), (74, 84, 60), (113, 133, 101)]",['Small/Transparent']
51,"[(33, 37, 13), (26, 32, 8), (40, 41, 19), (212, 220, 176), (197, 208, 167), (59, 53, 26), (124, 84, 25), (220, 212, 145), (145, 150, 106), (219, 195, 79)]","['saddlebrown', 'khaki', 'darkkhaki']"
52,"[(29, 34, 13), (35, 38, 19), (36, 40, 12), (30, 35, 7), (24, 29, 7), (42, 43, 21), (63, 76, 65), (55, 55, 33), (83, 96, 79), (154, 175, 132)]",['Small/Transparent']
53,"[(30, 35, 9), (31, 36, 16), (37, 40, 14), (25, 30, 7), (40, 42, 22), (58, 71, 61), (70, 82, 71), (53, 53, 30), (92, 105, 85), (154, 176, 133)]",['Small/Transparent']
54,"[(35, 38, 15), (28, 33, 9), (42, 43, 22), (232, 243, 194), (222, 235, 189), (212, 225, 180), (58, 57, 34), (97, 93, 74), (198, 213, 169), (144, 159, 117)]",['lightgoldenrodyellow']
55,"[(30, 36, 11), (25, 30, 6), (38, 41, 18), (137, 154, 135), (144, 159, 139), (47, 47, 27), (131, 147, 128), (99, 92, 77), (62, 61, 43), (116, 119, 99)]",['Small/Transparent']
